time[ms], HeartBeat(RGB), HeartBeat(IR), HeartBeat(depth), Breathing(depth)
530743.6, 126.7682, 12570.92, 690.2429, 689.8182
530743.7, 126.6856, 12524.74, 690.3818, 689.8783
530743.7, 126.5117, 12487.19, 690.4367, 689.9636
530743.8, 126.4214, 12459.98, 690.6061, 690.1381
530743.8, 126.3924, 12443.35, 690.5129, 690.2316
530743.8, 126.3854, 12440.46, 690.4735, 690.3682
530743.8, 126.3733, 12439.64, 690.5724, 690.5487
530743.9, 126.4431, 12459.89, 690.7783, 690.7247
530743.9, 126.5078, 12514.87, 690.9467, 690.8976
530743.9, 126.4633, 12564.83, 691.1763, 691.0609
530744, 126.4155, 12600.04, 691.0711, 691.0895
530744, 126.4244, 12619.19, 691.0779, 691.1838
530744, 126.5179, 12629.3, 690.9911, 691.1785
530744, 126.5391, 12629.44, 690.9467, 691.1696
530744.1, 126.4809, 12615.4, 691.0178, 691.211
530744.1, 126.3108, 12596.68, 691.2867, 691.3401
530744.1, 126.1447, 12508.38, 691.3456, 691.3642
530744.2, 125.7631, 12391.28, 691.1546, 691.2676
530744.3, 125.409, 12293.04, 690.9428, 691.1439
530744.3, 125.0973, 12224.86, 690.8557, 691.0781
530744.3, 124.7765, 12125.34, 690.5759, 690.9111
530744.4, 124.6697, 12086.44, 690.6403, 690.873
530744.4, 124.7345, 12099.22, 691.0563, 691.027
530744.4, 124.8263, 12125.74, 691.6046, 691.2785
530744.4, 124.8757, 12152.43, 692.6469, 691.8047
530744.5, 125.0239, 12220.58, 694.4668, 692.8519
530744.5, 125.0902, 12260.63, 696.0296, 693.9869
530744.5, 125.1728, 12361.82, 697.5105, 695.2798
530744.6, 125.3525, 12485.99, 698.8024, 696.6309
530744.6, 125.4536, 12587.37, 699.7206, 697.9175
530744.6, 125.5338, 12645.06, 700.1129, 699.0059
530744.7, 125.6115, 12716.86, 700.1705, 699.9205
530744.8, 125.4784, 12763.33, 699.9139, 700.5749
530744.8, 125.4552, 12748.13, 699.6984, 701.1139
530744.8, 125.4741, 12707.14, 699.671, 701.5353
530744.8, 125.5846, 12661.95, 699.6902, 701.73
